"cost"	"SCP"	"source"
"48"	1846.65432437341	9698.2042457137	"nat_gas_flaring"
"49"	1849.63694637314	9826.23114739863	"nat_gas_emissions"
"50"	1849.83674673601	9868.79412326713	"nat_gas_flaring"
"51"	1850.89859129539	9953.75147923973	"nat_gas_flaring"
"52"	1852.10329937093	10038.355108774	"nat_gas_flaring"
"53"	1853.76598235533	10080.4204507685	"nat_gas_flaring"
"54"	1854.32836027896	10122.415345563	"nat_gas_flaring"
"55"	1855.21226537324	10164.2999052452	"nat_gas_flaring"
"56"	1859.43366312519	10205.6639920069	"nat_gas_flaring"
"57"	1861.30825117418	10246.8003316562	"nat_gas_flaring"
"58"	1862.44169771242	10287.7999587027	"nat_gas_flaring"
"59"	1864.19992398441	10328.5889778808	"nat_gas_emissions"
"60"	1867.30052843511	10450.2363994836	"nat_gas_flaring"
"61"	1868.433920976	10490.5254426726	"nat_gas_flaring"
"62"	1872.19572443531	10610.6021426836	"nat_gas_flaring"
"63"	1872.29938786944	10690.286981889	"nat_gas_flaring"
"64"	1875.86572593805	10848.539140289	"nat_gas_flaring"
"65"	1878.84722281622	10887.6402313795	"nat_gas_flaring"
"66"	1879.89767458303	10926.6246697356	"nat_gas_emissions"
"67"	1880.119521275	10965.5845447493	"nat_gas_flaring"
"68"	1880.78036769192	11004.4713991493	"nat_gas_flaring"
"69"	1882.94882787149	11043.1202127822	"nat_gas_flaring"
"70"	1883.17571925756	11081.7442573082	"nat_gas_flaring"
"71"	1885.09940623263	11120.1593367603	"nat_gas_emissions"
"72"	1885.81488381865	11196.8428984041	"nat_gas_emissions"
"73"	1887.96891569094	11234.9496867767	"nat_gas_flaring"
"74"	1890.01843063038	11272.8387497904	"nat_gas_emissions"
"75"	1893.6013314822	11310.3520446288	"nat_gas_flaring"
"76"	1894.50612124776	11347.7714098671	"nat_gas_flaring"
"77"	1897.18634369419	11496.6405645342	"nat_gas_flaring"
"78"	1897.23663378266	11533.778784326	"nat_gas_flaring"
"79"	1897.50713842101	11570.8893399205	"nat_gas_flaring"
"80"	1899.56915968424	11644.8710420027	"nat_gas_emissions"
"81"	1901.48929871339	11755.12567	"nat_gas_flaring"
"82"	1902.98290645504	11791.6833905479	"nat_gas_emissions"
"83"	1907.23347329671	11827.8211957644	"nat_gas_flaring"
"84"	1911.54084064108	11971.2664051082	"nat_gas_flaring"
"85"	1917.4171446609	12112.5481267178	"nat_gas_emissions"
"86"	1919.64981691302	12147.5034483397	"nat_gas_flaring"
"87"	1921.33591637729	12217.1419058301	"nat_gas_flaring"
"88"	1922.73598196123	12251.813116789	"nat_gas_emissions"
"89"	1924.05102066951	12320.9199859603	"nat_gas_flaring"
"90"	1925.11474819218	12355.3747786178	"nat_gas_flaring"
"91"	1925.37788445308	12389.8057671986	"nat_gas_flaring"
"92"	1933.02998175462	12525.780958863	"nat_gas_emissions"
"93"	1934.97199953263	12593.0155885699	"nat_gas_flaring"
"94"	1935.22046548199	12626.575154937	"nat_gas_flaring"
"95"	1936.6794298123	12660.0086240329	"nat_gas_flaring"
"96"	1938.87731407429	12726.6591935753	"nat_gas_flaring"
"97"	1940.08237148199	12759.8015452466	"nat_gas_flaring"
"98"	1942.22032045462	12792.7631146055	"nat_gas_flaring"
"99"	1943.89991150487	12825.5837895644	"nat_gas_flaring"
"100"	1946.80741094477	12858.1628853123	"nat_gas_flaring"
